[LOG] [2018-04-13 17:46:13] Name Request Adhitia
[LOG] [2018-04-13 17:47:29] Name Request Adhitia
[LOG] [2018-04-13 17:48:09] Name Request Adhitia
[LOG] [2018-04-13 17:48:09] Response Message Hello, Adhitia 
[LOG] [2018-04-13 17:49:23] Name Request Adhitia
[LOG] [2018-04-13 17:49:23] Response Message Hello, Adhitia 
[LOG] [2018-04-13 17:58:15] Name Request Adhitia
[LOG] [2018-04-13 17:58:15] Response Final Message Hello, Adhitia 
[LOG] [2018-04-13 17:59:12] Name Request Adhitia
[LOG] [2018-04-13 17:59:12] Response Final Message Hello, Adhitia 
[LOG] [2018-04-13 18:00:17] Name Request Adhitia
[LOG] [2018-04-13 18:00:17] Response Final Message Hello, Adhitia 
[LOG] [2021-11-07 02:01:56] 1 mengirimkan pertemanan ke 40
[LOG] [2021-11-07 02:02:36] 1 mengirimkan pertemanan ke 49
[LOG] [2021-11-07 12:04:21] 1 mengirimkan pertemanan ke 173
[LOG] [2021-11-07 12:04:24] 1 mengirimkan pertemanan ke 173
[LOG] [2021-11-07 12:04:26] 1 mengirimkan pertemanan ke 173
[LOG] [2021-11-07 12:04:27] 1 mengirimkan pertemanan ke 173
[LOG] [2021-11-07 12:04:27] 1 mengirimkan pertemanan ke 173
[LOG] [2021-11-07 12:04:27] 1 mengirimkan pertemanan ke 173
[LOG] [2021-11-07 12:04:27] 1 mengirimkan pertemanan ke 173
[LOG] [2021-11-07 12:04:27] 1 mengirimkan pertemanan ke 173
[LOG] [2021-11-07 12:04:27] 1 mengirimkan pertemanan ke 173
[LOG] [2021-11-07 12:04:27] 1 mengirimkan pertemanan ke 173
[LOG] [2021-11-07 12:04:28] 1 mengirimkan pertemanan ke 173
[LOG] [2021-11-07 12:04:28] 1 mengirimkan pertemanan ke 173
[LOG] [2021-11-07 12:04:28] 1 mengirimkan pertemanan ke 173
[LOG] [2021-11-07 12:04:28] 1 mengirimkan pertemanan ke 173
[LOG] [2021-11-07 12:04:28] 1 mengirimkan pertemanan ke 173
[LOG] [2021-11-07 12:04:28] 1 mengirimkan pertemanan ke 173
[LOG] [2021-11-07 12:04:28] 1 mengirimkan pertemanan ke 173
[LOG] [2021-11-07 12:04:29] 1 mengirimkan pertemanan ke 173
[LOG] [2021-11-07 12:04:29] 1 mengirimkan pertemanan ke 173
[LOG] [2021-11-07 12:04:29] 1 mengirimkan pertemanan ke 173
[LOG] [2021-11-07 12:04:29] 1 mengirimkan pertemanan ke 173
[LOG] [2021-11-07 12:04:29] 1 mengirimkan pertemanan ke 173
[LOG] [2021-11-07 12:04:29] 1 mengirimkan pertemanan ke 173
[LOG] [2021-11-07 12:04:30] 1 mengirimkan pertemanan ke 173
[LOG] [2021-11-07 12:04:30] 1 mengirimkan pertemanan ke 173
[LOG] [2021-11-07 12:04:30] 1 mengirimkan pertemanan ke 173
[LOG] [2021-11-07 12:04:30] 1 mengirimkan pertemanan ke 173
[LOG] [2021-11-07 12:04:30] 1 mengirimkan pertemanan ke 173
[LOG] [2021-11-07 12:04:31] 1 mengirimkan pertemanan ke 173
[LOG] [2021-11-07 12:04:31] 1 mengirimkan pertemanan ke 173
[LOG] [2021-11-07 12:04:31] 1 mengirimkan pertemanan ke 173
[LOG] [2021-11-07 12:04:31] 1 mengirimkan pertemanan ke 173
[LOG] [2021-11-07 12:04:31] 1 mengirimkan pertemanan ke 173
[LOG] [2021-11-07 12:04:31] 1 mengirimkan pertemanan ke 173
[LOG] [2021-11-07 12:04:32] 1 mengirimkan pertemanan ke 173
[LOG] [2021-11-07 12:04:32] 1 mengirimkan pertemanan ke 173
[LOG] [2021-11-07 12:04:32] 1 mengirimkan pertemanan ke 173
[LOG] [2021-11-07 12:04:32] 1 mengirimkan pertemanan ke 173
[LOG] [2021-11-07 12:04:32] 1 mengirimkan pertemanan ke 173
[LOG] [2021-11-07 12:04:32] 1 mengirimkan pertemanan ke 173
[LOG] [2021-11-07 12:04:33] 1 mengirimkan pertemanan ke 173
[LOG] [2021-11-07 12:04:33] 1 mengirimkan pertemanan ke 173
[LOG] [2021-11-07 12:04:33] 1 mengirimkan pertemanan ke 173
[LOG] [2021-11-07 12:04:33] 1 mengirimkan pertemanan ke 173
[LOG] [2021-11-07 12:04:33] 1 mengirimkan pertemanan ke 173
[LOG] [2021-11-07 12:04:33] 1 mengirimkan pertemanan ke 173
[LOG] [2021-11-07 12:04:33] 1 mengirimkan pertemanan ke 173
[LOG] [2021-11-07 12:04:34] 1 mengirimkan pertemanan ke 173
[LOG] [2021-11-07 12:04:34] 1 mengirimkan pertemanan ke 173
[LOG] [2021-11-07 12:04:34] 1 mengirimkan pertemanan ke 173
[LOG] [2021-11-07 12:04:34] 1 mengirimkan pertemanan ke 173
[LOG] [2021-11-07 12:04:35] 1 mengirimkan pertemanan ke 173
[LOG] [2021-11-07 12:04:36] 1 mengirimkan pertemanan ke 173
[LOG] [2021-11-07 12:04:36] 1 mengirimkan pertemanan ke 173
[LOG] [2021-11-07 12:04:36] 1 mengirimkan pertemanan ke 173
[LOG] [2021-11-07 12:04:36] 1 mengirimkan pertemanan ke 173
[LOG] [2021-11-07 12:04:36] 1 mengirimkan pertemanan ke 173
[LOG] [2021-11-07 12:04:50] 1 mengirimkan pertemanan ke 173
[LOG] [2021-11-07 12:04:50] 1 mengirimkan pertemanan ke 173
[LOG] [2021-11-07 12:04:51] 1 mengirimkan pertemanan ke 173
[LOG] [2021-11-07 12:04:51] 1 mengirimkan pertemanan ke 173
[LOG] [2021-11-07 12:04:51] 1 mengirimkan pertemanan ke 173
[LOG] [2021-11-07 12:04:51] 1 mengirimkan pertemanan ke 173
[LOG] [2021-11-07 12:04:51] 1 mengirimkan pertemanan ke 173
[LOG] [2021-11-07 12:04:52] 1 mengirimkan pertemanan ke 173
[LOG] [2021-11-07 12:04:53] 1 mengirimkan pertemanan ke 173
[LOG] [2021-11-07 12:04:53] 1 mengirimkan pertemanan ke 173
[LOG] [2021-11-07 12:04:53] 1 mengirimkan pertemanan ke 173
[LOG] [2021-11-07 12:04:53] 1 mengirimkan pertemanan ke 173
[LOG] [2021-11-07 12:04:54] 1 mengirimkan pertemanan ke 173
[LOG] [2021-11-07 12:04:54] 1 mengirimkan pertemanan ke 173
[LOG] [2021-11-07 12:04:54] 1 mengirimkan pertemanan ke 173
[LOG] [2021-11-07 12:04:56] 1 mengirimkan pertemanan ke 173
[LOG] [2021-11-07 12:04:56] 1 mengirimkan pertemanan ke 173
[LOG] [2021-11-07 12:04:57] 1 mengirimkan pertemanan ke 173
[LOG] [2021-11-07 12:04:57] 1 mengirimkan pertemanan ke 173
[LOG] [2021-11-07 12:04:58] 1 mengirimkan pertemanan ke 173
[LOG] [2021-11-07 12:04:58] 1 mengirimkan pertemanan ke 173
[LOG] [2021-11-07 12:04:59] 1 mengirimkan pertemanan ke 173
[LOG] [2021-11-07 12:05:04] 1 mengirimkan pertemanan ke 173
[LOG] [2021-11-07 12:05:04] 1 mengirimkan pertemanan ke 173
[LOG] [2021-11-07 12:05:04] 1 mengirimkan pertemanan ke 173
[LOG] [2021-11-07 12:05:04] 1 mengirimkan pertemanan ke 173
[LOG] [2021-11-07 12:05:04] 1 mengirimkan pertemanan ke 173
[LOG] [2021-11-07 12:05:05] 1 mengirimkan pertemanan ke 173
[LOG] [2021-11-07 12:05:05] 1 mengirimkan pertemanan ke 173
[LOG] [2021-11-07 12:05:05] 1 mengirimkan pertemanan ke 173
[LOG] [2021-11-07 12:05:05] 1 mengirimkan pertemanan ke 173
[LOG] [2021-11-07 12:05:05] 1 mengirimkan pertemanan ke 173
[LOG] [2021-11-07 12:05:05] 1 mengirimkan pertemanan ke 173
[LOG] [2021-11-08 09:17:07] 1 mengirimkan pertemanan ke 20
[LOG] [2021-11-08 09:17:52] 1 mengirimkan pertemanan ke 20
[LOG] [2021-11-08 09:21:04] 1 mengirimkan pertemanan ke 20
[LOG] [2021-11-08 09:21:13] 1 mengirimkan pertemanan ke 10
[LOG] [2021-11-08 09:21:31] 1 mengirimkan pertemanan ke 2
[LOG] [2021-11-08 11:31:41] 1 mengirimkan pertemanan ke 20
[LOG] [2021-11-08 11:34:52] 1 mengirimkan pertemanan ke 20
[LOG] [2021-11-08 13:33:08] 1 mengirimkan pertemanan ke 20
[LOG] [2021-11-08 13:34:02] 1 mengirimkan pertemanan ke 2
[LOG] [2021-11-21 09:47:39] 5 mengirimkan pertemanan ke 2
[LOG] [2021-11-21 09:47:47] 1 mengirimkan pertemanan ke 2
[LOG] [2021-11-21 09:47:51] 1 mengirimkan pertemanan ke 10
[LOG] [2021-11-21 12:12:29] 1 mengirimkan pertemanan ke 17
[LOG] [2021-11-21 12:15:14] 1 mengirimkan pertemanan ke 18
[LOG] [2021-11-21 12:15:46] 1 mengirimkan pertemanan ke 19
[LOG] [2021-11-21 12:16:42] 1 mengirimkan pertemanan ke 19
[LOG] [2021-11-21 12:16:45] 1 mengirimkan pertemanan ke 18
[LOG] [2021-11-21 12:16:57] 1 mengirimkan pertemanan ke 10
[LOG] [2021-11-21 12:21:39] 1 mengirimkan pertemanan ke 18
[LOG] [2021-11-21 12:23:52] 1 mengirimkan pertemanan ke 19
[LOG] [2021-11-21 12:23:57] 1 mengirimkan pertemanan ke 10
[LOG] [2021-11-21 12:24:02] 1 mengirimkan pertemanan ke 19
[LOG] [2021-11-21 12:24:22] 1 mengirimkan pertemanan ke 20
[LOG] [2021-11-21 12:24:25] 1 mengirimkan pertemanan ke 21
[LOG] [2021-11-21 12:25:35] 1 mengirimkan pertemanan ke 21
[LOG] [2021-11-21 12:25:37] 1 mengirimkan pertemanan ke 21
[LOG] [2021-11-21 12:26:08] 1 mengirimkan pertemanan ke 21
[LOG] [2021-11-21 12:26:10] 1 mengirimkan pertemanan ke 21
[LOG] [2021-11-21 12:26:11] 1 mengirimkan pertemanan ke 21
[LOG] [2021-11-21 12:26:28] 1 mengirimkan pertemanan ke 21
[LOG] [2021-11-21 12:26:32] 1 mengirimkan pertemanan ke 20
[LOG] [2021-11-21 12:26:36] 1 mengirimkan pertemanan ke 21
[LOG] [2021-11-21 12:28:12] 1 mengirimkan pertemanan ke 18
[LOG] [2021-11-21 12:28:17] 1 mengirimkan pertemanan ke 19
[LOG] [2021-11-21 12:28:41] 1 mengirimkan pertemanan ke 20
[LOG] [2021-11-21 12:31:03] 1 mengirimkan pertemanan ke 19
[LOG] [2021-11-21 12:31:10] 1 mengirimkan pertemanan ke 18
[LOG] [2021-11-21 12:31:41] 1 mengirimkan pertemanan ke 17
[LOG] [2021-11-21 12:31:46] 1 mengirimkan pertemanan ke 18
[LOG] [2021-11-21 12:31:51] 1 mengirimkan pertemanan ke 19
[LOG] [2021-11-21 12:32:17] 1 mengirimkan pertemanan ke 19
[LOG] [2021-11-21 12:32:21] 1 mengirimkan pertemanan ke 18
[LOG] [2021-11-21 12:33:08] 1 mengirimkan pertemanan ke 20
[LOG] [2021-11-21 12:33:11] 1 mengirimkan pertemanan ke 21
[LOG] [2021-11-21 12:34:18] 1 mengirimkan pertemanan ke 21
[LOG] [2021-11-21 12:34:47] 1 mengirimkan pertemanan ke 20
[LOG] [2021-11-21 12:35:01] 1 mengirimkan pertemanan ke 19
[LOG] [2021-11-21 12:35:04] 1 mengirimkan pertemanan ke 18
[LOG] [2021-11-21 12:35:22] 1 mengirimkan pertemanan ke 17
[LOG] [2021-11-21 12:35:26] 1 mengirimkan pertemanan ke 13
[LOG] [2021-11-21 19:10:57] 1 menampilkan data following
[LOG] [2021-11-21 19:11:03] 1 mencari member lain dengan kata kunci ar
[LOG] [2021-11-21 19:30:34] 1 menampilkan data following
[LOG] [2021-11-21 19:32:04] 1 menampilkan data following
[LOG] [2021-11-21 19:32:23] 1 menampilkan data following
[LOG] [2021-11-21 19:32:35] 1 menampilkan data following
[LOG] [2021-11-21 19:32:44] 1 menampilkan data following
[LOG] [2021-11-21 19:45:54] 1 menampilkan data following
[LOG] [2021-11-21 19:46:34] 1 menampilkan data following
[LOG] [2021-11-21 19:47:55] 2 mengirimkan pertemanan ke 18
[LOG] [2021-11-21 19:48:28] 2 mengirimkan pertemanan ke 3
[LOG] [2021-11-21 19:48:33] 2 mengirimkan pertemanan ke 4
[LOG] [2021-11-21 19:48:41] 2 menampilkan data following
[LOG] [2021-11-21 19:48:49] 2 menampilkan data following
[LOG] [2021-11-21 19:55:20] 20 mengirimkan pertemanan ke 2
[LOG] [2021-11-21 19:56:03] 2 menampilkan data following
[LOG] [2021-11-21 20:00:58] 2 menampilkan data following
[LOG] [2021-11-21 20:01:21] 2 menampilkan data following
[LOG] [2021-11-21 20:03:30] 2 menampilkan data follower
[LOG] [2021-11-21 20:03:52] 2 menampilkan data following
[LOG] [2021-11-21 20:04:01] 2 menampilkan data follower
[LOG] [2021-11-21 20:04:15] 2 mencari data following dengan kata kunci ar
[LOG] [2021-11-21 20:04:34] 2 mencari data follower dengan kata kunci ar
[LOG] [2021-11-21 20:05:16] 2 menampilkan data follower
[LOG] [2021-11-21 20:05:21] 2 mencari data following dengan kata kunci 'ar'
[LOG] [2021-11-21 21:54:40] 20 mengirimkan pertemanan ke 2
[LOG] [2021-11-21 21:54:46] Total data yang terhapus 1 
[LOG] [2021-11-22 06:20:30] 2 menampilkan data following
[LOG] [2021-11-22 06:24:42] 2 menampilkan data following
[LOG] [2021-11-22 06:25:19] 2 menampilkan data following
[LOG] [2021-11-22 06:25:27] 2 menampilkan data following
[LOG] [2021-11-22 06:38:42] 2 mencari data follower dengan kata kunci 'ar'
[LOG] [2021-11-22 06:38:58] 2 mencari data follower dengan kata kunci 'ar'
[LOG] [2021-11-22 06:39:17] 2 mencari data follower dengan kata kunci 'ar'
